Job ID,Cluster,User/Group,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Cores,Array Job ID,WARNING
73262,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,128.00 KB,0.00,,73260_2,
73263,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,156.00 KB,0.00,,73260_3,
73264,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,256.00 KB,0.00,,73260_4,
73265,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,152.00 KB,0.00,,73260_5,
73266,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,212.00 KB,0.00,,73260_6,
73267,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,216.00 KB,0.00,,73260_7,
73268,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,128.00 KB,0.00,,73260_8,
73269,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,100.00 KB,0.00,,73260_9,
73270,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:00:41,78.85,00:00:13,966.70 MB,5.90,,73270_10,
73271,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:00:40,71.43,00:00:14,988.88 MB,6.04,,73270_1,
73272,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:00:41,78.85,00:00:13,921.24 MB,5.62,,73270_2,
73273,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:00:41,78.85,00:00:13,984.72 MB,6.01,,73270_3,
73274,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:00:40,76.92,00:00:13,1.01,6.32,,73270_4,
73275,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:00:40,76.92,00:00:13,914.54 MB,5.58,,73270_5,
